lost_parking,transit_dist,bike_chng,type,parking_cost_change,pct_sales_chng
3,0.075126733,0.042918233,Drugstore,0.164,0.052996748
5,0.091264562,0.086670906,Restaurant,0.166,0.06638897
4,0.075953821,0.127249409,Restaurant,0.16,0.060734289
5,0.117843117,0.025476807,Drugstore,0.15,0.033881921
3,0.100883294,0.039502901,Clothing,0.161,0.007139494
4,0.111206501,0.056511319,Books,0.16,0.048385361
4,0.158411094,0.104179965,Clothing,0.158,0.006518509
3,0.17439844,0.065952192,Drugstore,0.154,0.023359484
5,0.162529507,0.123478291,Clothing,0.148,0.023804633
3,0.200239096,0.060781563,Clothing,0.15,-0.006251784
3,0.157555663,0.012117369,Drugstore,0.173,0.03667501
5,0.195224816,0.144425469,Restaurant,0.188,0.055144667
5,0.156388408,0.059552412,Restaurant,0.193,0.026718447
4,0.105876979,0.039296473,Drugstore,0.177,0.027975878
5,0.137355337,0.106542489,Clothing,0.177,0.063394059
4,0.10650043,0.093651354,Books,0.169,0.031349135
3,0.119076327,0.175145553,Clothing,0.171,0.081720259
3,0.061658921,0.089886648,Drugstore,0.189,0.083325642
5,0.103140796,0.12952334,Clothing,0.178,0.057451062
4,0.050615465,0.02773827,Clothing,0.171,0.053863855
5,0.05440771,0.060873992,Clothing,0.214,0.091443173
5,0.055704619,0.112986574,Books,0.203,0.107442957
5,0.017044179,-0.04600944,Restaurant,0.201,0.035106669
5,0.027475508,0.125992917,Books,0.204,0.081021409
3,0.047242363,0.087693995,Books,0.204,0.1130526
3,0.023592409,0.147756234,Books,0.191,0.077599491
4,0.011197026,0.037967145,Clothing,0.207,0.027675486
5,0.042007256,0.088420584,Restaurant,0.202,0.094990839
5,0.068611314,0.010606657,Restaurant,0.213,0.048463698
4,0.061313144,0.166141366,Restaurant,0.21,0.059484852
5,0.082338725,0.094249122,Drugstore,0.186,0.054903247
5,0.077446787,0.002378858,Restaurant,0.173,0.040942771
4,0.113469634,0.065459605,Restaurant,0.19,0.045377679
3,0.118079311,0.067347896,Drugstore,0.18,0.02863528
5,0.09198533,0.083737415,Clothing,0.187,0.074872684
5,0.147002715,0.00895273,Books,0.179,0.026947576
3,0.14648974,0.029856454,Clothing,0.197,-0.005218357
5,0.162565744,0.139364167,Drugstore,0.177,0.038352869
3,0.149462678,0.079557195,Clothing,0.18,0.04057069
4,0.171129619,0.141461307,Clothing,0.189,0.030168978
4,0.175322068,0.14950624,Drugstore,0.172,0.04150927
3,0.160614045,0.070538278,Restaurant,0.177,0.042411645
5,0.139158331,0.012442971,Restaurant,0.178,-0.008759453
5,0.151959349,0.172396605,Drugstore,0.174,0.040235865
3,0.12296208,0.07068515,Clothing,0.165,0.029213497
5,0.110395557,0.044959613,Books,0.161,0.020094218
3,0.108387045,0.071172917,Clothing,0.149,0.013772181
3,0.101204559,0.124993483,Drugstore,0.16,0.078177111
5,0.098260462,0.120391149,Clothing,0.15,0.041018979
3,0.057339507,0.164093134,Clothing,0.152,0.047945057
3,0.058593754,0.04674711,Drugstore,0.136,0.111952766
5,0.005337036,0.075729286,Restaurant,0.151,0.097612865
4,0.031004069,0.023085762,Restaurant,0.133,0.095943283
4,0.006180792,0.036302835,Drugstore,0.134,0.063116283
4,-0.005647164,-0.006447556,Clothing,0.137,0.076169768
4,0.034511018,0.076287607,Books,0.159,0.032293031
3,0.037300964,0.040207241,Clothing,0.159,0.070407835
4,0.040820206,0.030081554,Drugstore,0.122,0.052128675
4,0.02558092,-0.017057101,Clothing,0.132,0.070384737
3,0.060839999,0.172387938,Clothing,0.149,0.089550401
4,0.072930103,0.110047186,Drugstore,0.132,0.048867233
5,0.083897012,0.062251426,Restaurant,0.113,0.010279542
5,0.071772337,0.073096351,Restaurant,0.124,0.055672661
4,0.09223052,0.076452693,Drugstore,0.118,0.044022547
4,0.120225472,0.029976207,Clothing,0.122,0.0308905
5,0.150705209,0.108328138,Books,0.119,0.058936121
5,0.153749996,0.074842187,Clothing,0.109,0.044841195
3,0.163361933,0.159808717,Drugstore,0.13,0.014369041
4,0.138430512,0.086795398,Clothing,0.103,0.050553128
4,0.210667169,0.038914084,Clothing,0.129,0.026410065
3,0.159227674,0.03014648,Grocery,0.104,-0.007479566
5,0.190685592,0.010447794,Books,0.115,-0.011839388
5,0.168732125,0.105410678,Grocery,0.088,-0.024129374
4,0.144558602,0.081983611,Clothing,0.097,0.053709618
4,0.127477455,0.080215433,Grocery,0.1,-0.016987578
3,0.113016377,0.076990509,Drugstore,0.099,0.047835783
4,0.136717933,0.07211214,Grocery,0.091,-0.014298566
5,0.07742294,0.140931777,Clothing,0.085,0.081363925
5,0.086535119,0.059192784,Drugstore,0.103,0.057078069
3,0.087844134,0.058426459,Books,0.096,0.042567555
3,0.042745619,0.113283522,Grocery,0.067,-0.017236276
4,0.056874487,0.086348733,Books,0.077,0.075276155
4,0.02022901,0.134332502,Grocery,0.084,-0.026463916
4,0.025743887,0.005076816,Clothing,0.069,0.046586972
4,0.007182513,0.094350003,Grocery,0.095,-0.007314658
5,-3.30E-04,0.007461792,Drugstore,0.063,0.078796288
3,0.023686011,0.055177634,Grocery,0.089,-0.015689933
4,0.018829856,0.037528967,Clothing,0.076,0.064948306
3,0.0182296,0.058975462,Drugstore,0.081,0.032745103
3,0.048732319,0.006843354,Books,0.069,0.064318949
5,0.080686506,0.051558039,Grocery,0.073,-0.026974505
4,0.054864961,0.07840949,Books,0.055,0.048939712
4,0.100413954,0.064221877,Grocery,0.058,-0.010349607
4,0.07892945,0.010228705,Clothing,0.063,0.067227315
4,0.116209282,-0.014711829,Grocery,0.053,-0.009202516
4,0.183230238,0.079269429,Drugstore,0.069,-0.005341807
3,0.167052287,-0.013150287,Grocery,0.066,-0.008556045
3,0.144776393,0.014435361,Clothing,0.065,0.03673984
5,0.159063523,0.013340171,Drugstore,0.051,0.018504938
3,0.192998986,0.100810766,Books,0.063,-0.005778888
3,0.164859242,0.059049255,Grocery,0.034,-0.011687699
4,0.18032023,-0.014969855,Books,0.048,0.009631241
3,0.13554457,0.033531502,Grocery,0.035,-0.003730548
3,0.12264551,0.094030436,Clothing,0.037,0.069245197
4,0.125545911,-0.026499197,Grocery,0.048,-0.024662857
3,0.098074725,0.055356271,Drugstore,0.04,0.016203933
3,0.119935331,-0.066606651,Grocery,0.051,-0.00568918
4,0.090609288,-0.018786937,Clothing,0.026,0.06148704
3,0.106752389,-0.015604021,Drugstore,0.046,0.030171057
3,0.066172857,0.037829202,Books,0.041,0.05867906
3,0.053941753,0.049910101,Gas station,0.008,0
3,0.040129369,0.09248617,Gas station,0.012,0
3,0.029016601,-0.062080821,Furniture,0.035,-0.015630599
3,0.037792704,0.121173644,Grocery,0.028,-0.016708266
4,0.009974331,0.055916217,Clothing,0.005,0.112786197
3,-0.003006949,-0.075376199,Furniture,0.017,-0.020805542
3,0.024239891,0.108804988,Clothing,0.016,0.107468426
5,0.044099715,-0.062276657,Grocery,0.019,-0.017970677
5,0.027836821,0.015938603,Clothing,0.008,0.092981414
4,0.059814382,0.071384622,Furniture,0.003,-0.016815265
3,0.066319509,-0.068830937,Gas station,0.007,0
4,0.094486112,-0.012913204,Gas station,0.005,0
3,0.093763306,0.012553474,Furniture,-0.017,-0.01890212
3,0.10232851,0.058627775,Grocery,0.008,-0.016646027
3,0.092071076,-0.003886487,Clothing,0.016,0.054761886
5,0.102807638,-0.025584315,Furniture,-0.007,-0.022487019
5,0.15677272,-0.059349516,Clothing,0.002,0.039069642
4,0.144361765,-0.002910465,Grocery,0.01,-0.001318396
5,0.182868144,-0.066389488,Clothing,0.009,0.033916257
5,0.176000125,0.120997589,Furniture,0,-0.011477241
1,0.186572901,0.019357761,Gas station,-0.009,0
1,0.174397864,0.033435114,Gas station,0.002,0
0,0.182260685,-0.006444198,Furniture,0.009,-0.008443321
1,0.141006846,0.003657937,Grocery,-0.008,-0.006799055
0,0.189652965,0.031558571,Clothing,0.001,0.002427212
0,0.118002394,-0.045713477,Furniture,-0.004,-0.014752599
1,0.099342304,0.021967544,Clothing,-0.019,0.016292295
0,0.080681417,0.105173153,Grocery,0,-0.003836823
0,0.066799238,-0.00357215,Clothing,0.007,0.060343059
0,0.105401288,0.052667449,Furniture,-0.015,0.001092353
1,0.06257403,0.057485086,Gas station,0.02,0
1,0.011830419,0.080802728,Gas station,0.027,0
0,0.020187071,-0.004270516,Furniture,0.002,0.001686932
1,0.027849586,0.063515924,Grocery,0.017,-0.011910853
0,0.014050498,0.062711731,Clothing,0.02,0.077326825
1,0.015675874,0.057998501,Furniture,0.009,-0.017743863
0,0.005921061,0.076211755,Clothing,0.028,0.051591996
1,0.014102115,-0.019634779,Grocery,0.026,-0.0083313
0,0.039020952,0.047141543,Clothing,0.034,0.074725532
0,0.042469065,0.065871714,Furniture,0.016,-0.014878705
0,0.07950117,0.039201383,Grocery,0.038,-0.011261219
0,0.107422984,0.032951484,Books,0.054,0.049478352
1,0.084439028,0.158894081,Grocery,0.05,-0.012636192
0,0.099143165,0.122748764,Clothing,0.043,0.044446392
1,0.11355674,0.057042894,Grocery,0.05,-0.005601388
1,0.142273672,0.057331985,Drugstore,0.04,0.04484568
0,0.129202113,0.122014404,Grocery,0.056,0.00181689
1,0.148342844,0.053491207,Clothing,0.055,0.025380399
1,0.16236518,0.086316116,Drugstore,0.044,0.036468507
1,0.167463137,-0.011159717,Books,0.027,0.006532358
1,0.197879805,0.086295361,Grocery,0.059,-0.011117462
0,0.213719593,0.076842072,Books,0.039,0.006010246
0,0.180877836,0.139294047,Grocery,0.06,-0.007050996
0,0.161912357,0.05237408,Clothing,0.07,0.040947973
0,0.130173314,0.041593273,Grocery,0.058,-0.014057184
1,0.119737129,0.058015286,Drugstore,0.057,0.050602779
1,0.097623357,0.024042207,Grocery,0.067,-0.01770631
1,0.091067403,0.062980442,Clothing,0.059,0.056850878
0,0.118561023,0.059142213,Drugstore,0.055,0.035286761
1,0.066774505,-0.033020405,Books,0.07,0.112063464
0,0.083479536,0.026317096,Grocery,0.077,-0.001443096
0,0.066564017,0.04976226,Books,0.088,0.053215726
0,0.037982357,0.024806246,Grocery,0.08,0.003590698
1,0.003357724,0.14063356,Clothing,0.081,0.076519962
0,-0.016506319,-0.020889712,Grocery,0.094,0.002700226
0,0.020677469,-0.080543191,Drugstore,0.077,0.069855179
1,-0.001236555,0.021648127,Grocery,0.079,-0.003697519
0,0.048077577,0.082477994,Clothing,0.077,0.035753639
0,0.046957084,0.1044699,Drugstore,0.072,0.04264364
1,0.080453306,0.050772769,Books,0.085,0.057680082
1,0.040554721,-0.011628428,Grocery,0.105,3.59E-04
1,0.054590905,0.045590231,Books,0.107,0.030210884
1,0.057639604,-0.046158629,Grocery,0.098,-9.57E-04
1,0.075922698,-0.033100978,Clothing,0.096,0.013005598
1,0.136767681,0.136193725,Grocery,0.108,-0.006618087
0,0.137792449,0.060635421,Drugstore,0.1,0.058298846
1,0.141119215,0.047584005,Grocery,0.092,-0.010733328
1,0.178125013,0.025523338,Clothing,0.102,0.050994326
1,0.182527171,0.063057709,Drugstore,0.1,0.105647006
0,0.193472877,0.080082075,Books,0.118,0.042600683
0,0.224515293,0.105226534,Drugstore,0.109,-0.012481857
1,0.169279397,0.049962798,Restaurant,0.122,0.003475353
0,0.179185454,0.068270921,Restaurant,0.134,0.044966547
1,0.112587171,0.117728612,Drugstore,0.101,0.044702996
0,0.112337119,0.087168934,Clothing,0.1,0.047665134
1,0.10749235,0.123893587,Books,0.131,0.052912416
0,0.083503905,0.022482108,Clothing,0.12,0.055739788
1,0.131466409,0.085925935,Drugstore,0.121,0.05037732
0,0.092299726,-0.013144897,Clothing,0.123,0.04895811
1,0.048393989,0.150420987,Clothing,0.112,0.088410116
0,0.044289674,0.069899402,Drugstore,0.125,0.036573272
1,0.024792306,0.123539967,Restaurant,0.134,0.075641532
1,0.039917266,0.106535607,Restaurant,0.139,0.069577297
0,0.005923853,0.079125256,Drugstore,0.128,0.065025532
0,0.02444972,0.097507288,Clothing,0.128,0.099876304
0,-0.032302055,0.053909877,Books,0.152,0.128960568
0,-1.23E-04,0.093868049,Clothing,0.129,0.152948131
1,0.020626015,0.02244888,Drugstore,0.148,0.060474815
1,0.042155784,0.042973861,Clothing,0.149,0.082820934
0,0.06224405,0.165352641,Clothing,0.154,0.095826667
0,0.069767905,0.118177809,Drugstore,0.183,0.072120182
0,0.086538311,0.083899699,Restaurant,0.174,0.064960028
0,0.090402472,0.093572399,Restaurant,0.153,0.024246531
1,0.148190829,0.114861647,Drugstore,0.155,0.027654496
0,0.099137387,0.22722141,Clothing,0.168,0.069449189
1,0.115189356,0.065681424,Books,0.154,0.027111443
1,0.177373547,0.040496725,Clothing,0.16,0.03616856
1,0.161335589,0.109890339,Drugstore,0.176,0.060530068
1,0.177683117,0.123650516,Clothing,0.168,0.038366052
0,0.154705053,0.042233159,Clothing,0.144,0.054847125
1,0.219972544,0.037784953,Drugstore,0.178,0.016287072
0,0.177479547,0.079254258,Restaurant,0.189,0.034207605
1,0.149683033,0.097300069,Restaurant,0.185,0.028091186
1,0.144990561,0.031688445,Drugstore,0.187,0.034621043
1,0.110607436,0.108163567,Clothing,0.17,0.029581972
0,0.104083124,0.079302062,Books,0.166,0.077801915
0,0.156233205,0.178918092,Clothing,0.16,0.045021433
1,0.052093994,0.132391652,Drugstore,0.158,0.086119194
1,0.069773657,0.09328269,Clothing,0.177,0.089797929
1,0.073645236,0.138579024,Clothing,0.183,0.065465424
1,0.064160703,0.129698892,Clothing,0.213,0.035513063
0,0.009869479,0.059834527,Books,0.202,0.135569375
0,0.026756538,0.07322492,Restaurant,0.195,0.069398272
1,0.016606892,0.065878149,Books,0.194,0.078333884
1,0.029867672,0.170837766,Books,0.168,0.103655869
1,0.009896227,0.027485986,Books,0.184,0.07284435
0,0.04131618,0.052035418,Clothing,0.205,0.087221279
0,0.065948659,0.051328301,Restaurant,0.215,0.055444481
1,-0.001510595,0.138052243,Restaurant,0.179,0.052786997
0,0.052686449,0.006007787,Restaurant,0.189,0.031321923
1,0.056614594,0.102169482,Drugstore,0.178,0.092699857
1,0.10659498,0.161704791,Restaurant,0.202,0.047335719
0,0.083550494,0.176372422,Restaurant,0.169,0.058915876
1,0.092472392,0.114763934,Drugstore,0.154,0.058307714
0,0.085554762,0.087075899,Clothing,0.176,0.034893407
0,0.127769373,0.064255158,Books,0.171,0.032571219
1,0.140024627,0.158990976,Clothing,0.202,0.037843555
0,0.164079237,0.090565434,Drugstore,0.181,0.004226505
1,0.16344458,0.035666492,Clothing,0.177,7.02E-04
0,0.143857962,0.069062314,Clothing,0.187,0.023180456
1,0.181276006,0.064633312,Drugstore,0.164,-0.00840144
0,0.164134718,0.008781286,Restaurant,0.159,0.007235851
1,0.139074738,0.112346821,Restaurant,0.147,0.064798631
0,0.170501722,0.161890357,Drugstore,0.163,0.060920348
1,0.12581059,0.119702186,Clothing,0.152,0.047155717
1,0.146878786,0.091736596,Books,0.168,0.044262307
0,0.094518907,0.138562616,Clothing,0.145,0.054163488
0,0.085624605,0.125426992,Drugstore,0.156,0.051028945
1,0.060849826,0.124114634,Clothing,0.15,0.113569067
0,0.05514181,0.115660132,Clothing,0.155,0.082983668
1,0.034056845,0.126598601,Drugstore,0.144,0.092486786
0,0.042581149,-0.00654863,Restaurant,0.15,0.086418487
0,0.028465886,0.045650376,Restaurant,0.148,0.096263575
1,-0.010970192,0.037794204,Drugstore,0.136,0.084505961
1,0.009891621,0.047874788,Clothing,0.137,0.013701382
1,0.01694128,0.108563051,Books,0.138,0.064487099
1,0.040100497,0.11357908,Clothing,0.13,0.050754008
1,0.028939801,0.063430454,Drugstore,0.141,0.025988719
1,0.043661529,-0.033046539,Clothing,0.141,0.041674484
0,0.036763465,0.119061472,Clothing,0.135,0.063954422
1,0.080259686,0.043785347,Drugstore,0.137,0.03361604
1,0.107965618,0.073459035,Restaurant,0.122,0.034866467
0,0.07750298,0.083154151,Restaurant,0.14,0.082371941
1,0.140624248,0.138966848,Drugstore,0.114,-0.004553881
0,0.139711213,-0.016894163,Clothing,0.106,0.016649494
1,0.113868625,0.107521519,Books,0.128,0.008295972
1,0.128711324,0.052131027,Clothing,0.114,0.059196735
0,0.160374184,0.08371416,Drugstore,0.101,0.012988782
1,0.168477041,0.063744806,Clothing,0.115,0.061489703
0,0.165106711,0.108452103,Clothing,0.106,0.102672652
0,0.165839836,0.108191394,Grocery,0.097,-0.004524556
0,0.167553117,0.032852651,Books,0.112,-0.0103036
1,0.181844969,0.054494706,Grocery,0.119,-0.004661524
0,0.140246798,0.085613548,Clothing,0.098,0.066723341
0,0.129448523,0.133665888,Grocery,0.097,-0.006476736
1,0.142071653,0.100475135,Drugstore,0.104,0.056358095
1,0.092607853,0.128040524,Grocery,0.099,-0.003529744
0,0.111473414,0.10935563,Clothing,0.115,0.038671663
0,0.070675411,0.105711365,Drugstore,0.097,0.067743061
1,0.059653159,0.073038928,Books,0.101,0.034256772
1,0.068163942,0.128630391,Grocery,0.088,-0.005274725
1,0.058161704,0.034104807,Books,0.082,0.067952045
0,0.019858748,0.066630879,Grocery,0.066,-0.001440082
1,0.012576196,0.116501112,Clothing,0.077,0.068810618
0,0.004786436,0.088392125,Grocery,0.097,-0.002641461
1,0.010664737,0.120794488,Drugstore,0.064,0.066130642
1,0.039596239,0.04568193,Grocery,0.075,-0.013399132
1,0.065660055,0.121156437,Clothing,0.081,0.048618632
1,0.038294958,0.045461611,Drugstore,0.083,0.056591752
1,0.020286734,-0.023402118,Books,0.077,0.068875134
0,0.077760665,0.109943623,Grocery,0.051,-0.009791525
0,0.064920216,0.116556557,Books,0.058,0.028599149
1,0.086272686,0.15418509,Grocery,0.068,-0.012011536
0,0.085495425,-0.017017617,Clothing,0.088,0.057197213
0,0.111757935,-0.039380432,Grocery,0.064,-0.008034596
0,0.131958532,0.044865463,Drugstore,0.063,0.026807578
1,0.142824433,0.02842871,Grocery,0.052,-0.014450501
1,0.133949069,0.022854814,Clothing,0.042,0.049526492
0,0.189260012,-0.044629746,Drugstore,0.052,0.017272653
0,0.207397322,-0.001598971,Books,0.07,0.008110205
1,0.201256424,0.021410451,Grocery,0.044,-0.010710139
1,0.170852435,0.164569064,Books,0.032,-0.01831845
0,0.124280943,0.034738877,Grocery,0.051,0.007432782
0,0.172533279,0.001112641,Clothing,0.052,0.019816697
1,0.13068919,-0.007075469,Grocery,0.043,-0.009316676
0,0.105631399,0.028939261,Drugstore,0.031,0.076387991
1,0.132397482,-0.019253931,Grocery,0.025,-0.014143417
0,0.095442356,0.098332901,Clothing,0.02,0.059750449
1,0.102905668,0.027841996,Drugstore,0.048,0.045132256
0,0.082049624,0.058321127,Books,0.045,0.060576418
0,0.026664719,0.075874545,Gas station,0.023,0
0,0.068178779,0.033582042,Gas station,0.018,0
1,0.023720084,0.021356278,Furniture,0.025,-0.005665278
1,0.019701357,0.001101541,Grocery,0.028,-0.010307913
0,-0.025251455,0.014421513,Clothing,0.013,0.074163467
1,-5.03E-04,0.018831201,Furniture,0.025,-0.010329361
0,0.043095414,0.155162949,Clothing,0.012,0.06237229
0,0.024449571,-0.002012281,Grocery,0.028,-0.00497851
1,0.032268986,0.051729989,Clothing,0.033,0.047820168
1,0.063000464,0.086507188,Furniture,0.007,-0.003835464
1,0.079348175,-0.011772088,Gas station,-0.011,0
1,0.085720139,0.006748022,Gas station,-0.002,0
0,0.095814051,0.014330238,Furniture,-0.004,-0.004823579
0,0.115762525,0.067704433,Grocery,-0.023,-0.003788279
1,0.104323204,-0.066647933,Clothing,0.018,0.021727914
1,0.098518382,0.01963767,Furniture,0.011,-0.008947179
1,0.156881072,-0.023109306,Clothing,-0.004,0.058315003
1,0.115472041,0.064760506,Grocery,0,-0.012681982
1,0.161583634,0.021337709,Clothing,0.012,-6.60E-04
1,0.1658607,0.035761918,Furniture,0.002,-3.60E-04
